Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
14,Goblins,0.6637168141592921,0.5049736688121709,0.021772652943808053
79,Skeleton Dragons,0.5988023952095808,0.5048039215686274,0.09892272786047197
105,Zap,0.5282358820589705,0.5106382978723404,0.2820510271285167
50,Goblin Gang,0.5309734513274337,0.5063933213568635,0.3229292391115559
28,Cannon,0.5510204081632653,0.5044457617071725,0.3654724648982284
103,Lightning,0.5408163265306123,0.5044177504219199,0.40903466932814125
31,Lava Hound,0.532,0.5049153744805919,0.4106641161790596
61,Furnace,0.5409836065573771,0.5044722719141324,0.4175777444640978
92,Bowler,0.5407166123778502,0.5044731610337972,0.4191050425937862
68,Giant Skeleton,0.5280701754385965,0.504950495049505,0.47695170748740523
7,Guards,0.5339233038348082,0.5043877143996809,0.489066271348913
9,Lumberjack,0.5206643491695635,0.5110568269478015,0.5045245642271299
0,Mega Minion,0.5303867403314917,0.5043478260869565,0.5518306891166943
78,Tombstone,0.5260869565217391,0.5044917734934895,0.5527011011592284
5,Zappies,0.5849056603773585,0.5035873569904984,0.5582907009140827
23,Barbarian Barrel,0.5233333333333333,0.5047609296611038,0.5635462605285435
90,Three Musketeers,0.6060606060606061,0.5034836462163731,0.6202836751889728
42,Fire Spirit,0.526984126984127,0.5040787902904894,0.6324135405131388
11,Phoenix,0.5297297297297298,0.5037320762129248,0.6773228515882155
100,Ice Golem,0.5270935960591133,0.5037386855568674,0.6912149160922134
84,Archers,0.5182341650671785,0.5042656916514321,0.7100078311019352
106,Goblin Giant,0.6,0.5033342997970426,0.7511863074565595
67,Ice Spirit,0.5201612903225806,0.5037058997924696,0.7875550728056959
96,Knight,0.5123010130246021,0.5042372881355932,0.787906452909723
52,Electro Wizard,0.5109603340292276,0.5063306117619216,0.7960159458366194
39,Royal Recruits,0.5275590551181102,0.503515625,0.8017314596349213
3,Rascals,0.5641025641025641,0.5033888458559257,0.8205253933868626
81,Dart Goblin,0.5096011816838996,0.5040247678018576,0.8704614793115479
8,Royal Giant,0.5256410256410257,0.503353095538925,0.8727386386068655
82,Musketeer,0.5093833780160858,0.5041056023282403,0.8765469213830434
29,Minions,0.5076765609007164,0.5042598509052183,0.9278928920609448
24,Bomber,0.5096618357487923,0.5036672360092435,0.9445819973837549
13,Fireball,0.5065666041275797,0.5056466302367941,0.9755642401063646
40,Cannon Cart,0.5555555555555556,0.5032882011605416,1.0
102,Goblin Drill,0.5555555555555556,0.5032370277321481,1.0
97,Sparky,0.5050167224080268,0.5033770361541517,1.0
63,Giant Snowball,0.5058823529411764,0.5033623417721519,1.0
30,Archer Queen,0.5102040816326531,0.5031982942430704,1.0
44,Electro Spirit,0.5142857142857142,0.5032533747693503,1.0
36,Mighty Miner,0.5238095238095238,0.5032445520581114,1.0
46,Royal Delivery,0.5333333333333333,0.503240785527716,1.0
