Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
35,Barbarians,0.5522875816993464,0.5207131620346094,0.46569912128346
30,Archer Queen,0.625,0.5175745460603032,0.561214940972018
0,Mega Minion,0.5607476635514018,0.5184121621621621,0.5834147500667739
92,Bowler,0.5398457583547558,0.5209294075913444,0.6664378307548504
42,Fire Spirit,0.546875,0.5183929479572809,0.7071142312899612
43,Hunter,0.5555555555555556,0.5178841309823677,0.7382739118212229
90,Three Musketeers,0.5833333333333334,0.517407962685324,0.7724818212447502
65,Spear Goblins,0.5428571428571428,0.5180682201958797,0.7821809659922442
80,Skeleton Dragons,0.5757575757575758,0.5175175175175175,0.8050105359078509
26,Night Witch,0.5882352941176471,0.5176038711830468,0.8073081336779863
75,Bomb Tower,0.5405405405405406,0.5177221568956828,0.8692275903782769
66,Royal Ghost,0.5466666666666666,0.5178091397849462,0.8699961176213895
85,Archers,0.524390243902439,0.519389366555536,0.9377022843074785
8,Royal Giant,0.5272727272727272,0.5178299814094981,1.0
105,Zap,0.5242839352428393,0.5233537519142419,1.0
3,Rascals,0.5625,0.5174311926605505,1.0
21,Fisherman,0.5294117647058824,0.517270148506591,1.0
106,Goblin Giant,0.5384615384615384,0.5171267043565015,1.0
