Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
105,Zap,0.5272786142140198,0.4996347343301027,0.002212819385270213
85,Archers,0.5456490727532097,0.4955745218903113,0.009098599641565477
83,Musketeer,0.5362177929022849,0.4958828540137103,0.010521400176610287
55,The Log,0.5185002466699556,0.498602300827868,0.011961226778398924
70,Bats,0.5205227314559175,0.4969685575974056,0.014807441029203712
72,Goblin Barrel,0.5174371451743714,0.49756628003314,0.0163583859153148
52,Electro Wizard,0.5151045701006971,0.4961244137250061,0.03174541648705689
54,Prince,0.5252679938744257,0.495435305834509,0.03307761583638338
50,Goblin Gang,0.5234669407331278,0.4954814845950149,0.033954936009427464
34,Wall Breakers,0.5340393343419062,0.4948400819284701,0.04720123127587428
15,Dark Prince,0.5338461538461539,0.4948051948051948,0.049767588206962386
59,Skeleton Army,0.5094666233906741,0.4949333027995649,0.05041445671500384
58,Firecracker,0.5157534246575343,0.4952082400358262,0.05718059238223549
99,Princess,0.5173510699826489,0.4950111818338207,0.06756630333697797
2,Arrows,0.5094886281326959,0.4944211642348665,0.07956411853363209
32,Bandit,0.5193936691930451,0.4945845424449258,0.1004870883877851
37,Goblin Cage,0.5842696629213483,0.4939318558721544,0.1107261713694922
29,Minions,0.5181902985074627,0.4944231865179516,0.12670155136657146
96,Knight,0.5198711063372717,0.4944059884095299,0.13161913008173745
45,Skeleton Barrel,0.5257563368765331,0.4943304429709264,0.13450768116556874
48,Earthquake,0.5838926174496645,0.4938443582696434,0.1630720729237648
0,Mega Minion,0.5487804878048781,0.4939352588886362,0.18395097474313005
1,Witch,0.5004029936672424,0.4904299583911234,0.19185555209793556
18,Miner,0.5142421159715158,0.4940187520206919,0.21351869679330635
75,Bomb Tower,0.5636363636363636,0.4937653042004143,0.22518115273224168
25,Hog Rider,0.5038759689922481,0.4926357335386985,0.2256349593096219
14,Goblins,0.532967032967033,0.4939611680171227,0.22592908958487548
93,Tesla,0.514946418499718,0.4940048923286682,0.22660454363178945
12,Valkyrie,0.4989109251404333,0.4896869961638961,0.2315827088271908
100,Ice Golem,0.5510204081632653,0.4938220290950312,0.23969642215083542
86,Magic Archer,0.5107020547945206,0.4938048740461147,0.2661797615249654
76,Baby Dragon,0.5062602068590093,0.4933582219135266,0.2831563325000266
43,Hunter,0.5307855626326964,0.4938450398262128,0.29696918434044345
92,Bowler,0.5458333333333333,0.4937665281450699,0.31488200782386755
101,Inferno Dragon,0.5033422459893048,0.4927549275492754,0.321110332870726
62,Mini P.E.K.K.A,0.5013414416025755,0.4920214025285288,0.3347422164079237
9,Lumberjack,0.5103734439834025,0.4936658274387563,0.3525462483740305
22,Ram Rider,0.510718789407314,0.4936713899060659,0.3558529382547899
24,Bomber,0.5143129770992366,0.4937261320240043,0.35892469712239305
61,Furnace,0.5162303664921466,0.4937682003494467,0.36003011517441863
66,Royal Ghost,0.5204081632653061,0.4937217670928719,0.3816290023131682
106,Goblin Giant,0.6,0.4935683480217513,0.3973688807564245
27,Wizard,0.4935124061006146,0.4870006694934166,0.3980750033264461
79,Tombstone,0.5237020316027088,0.4936993185365668,0.4199965259908558
42,Fire Spirit,0.5194805194805194,0.4936762064880975,0.4283868196223246
103,Lightning,0.5152354570637119,0.4936509158072957,0.429819276940672
13,Fireball,0.5011809163911195,0.4923918846769888,0.433956184255634
5,Zappies,0.536723163841808,0.4936117287905627,0.45664137216158995
68,Giant Skeleton,0.5138282387190685,0.4936018137801176,0.48302750323408195
23,Barbarian Barrel,0.5107991360691144,0.4935618988520012,0.48573043814212613
49,Ice Wizard,0.5100671140939598,0.4935311434769135,0.5078552254766538
7,Guards,0.5097826086956522,0.4935246219464909,0.5139130546098281
44,Electro Spirit,0.5265306122448979,0.4935953145664085,0.5270031958242274
95,Mortar,0.5487804878048781,0.4935406339191828,0.5318965410060487
104,Elite Barbarians,0.5013522650439486,0.4927585045469855,0.5325806511590649
4,Flying Machine,0.5190217391304348,0.4935843899476121,0.5553098110958936
67,Ice Spirit,0.5097529258777633,0.4935044909602559,0.5748107841742499
56,P.E.K.K.A,0.5036734693877551,0.493270551304689,0.6277644451630044
20,Electro Dragon,0.5165289256198347,0.4935015868218226,0.6494251132366664
71,Rage,0.4997677659080353,0.4928126399804536,0.6695904295867339
80,Skeleton Dragons,0.5153374233128835,0.4934644215918936,0.7396510224877972
90,Three Musketeers,0.524390243902439,0.4934655250112663,0.7547587750633712
16,Skeletons,0.5033003300330033,0.4933343548881397,0.773925452732366
60,Mirror,0.4974874371859296,0.4926779935275081,0.7753885793416568
47,Electro Giant,0.5014880952380952,0.4932790536907596,0.7850244905997783
46,Royal Delivery,0.5210084033613446,0.4934752359820992,0.7953898026100872
63,Giant Snowball,0.5047021943573667,0.4933878973892615,0.8122352216590799
28,Cannon,0.4990176817288801,0.4931106959364782,0.8246035247550726
98,Inferno Tower,0.4956719817767653,0.4924332041607179,0.8562691160409723
38,Mother Witch,0.5008695652173913,0.493284867036541,0.8595612092886418
87,Clone,0.4978165938864629,0.4932576565595002,0.9473106462801454
17,Minion Horde,0.493446088794926,0.4921339084000821,0.9536158581645893
19,Goblin Hut,0.4946808510638298,0.492976329064804,0.9632063802772651
73,Balloon,0.4923189465983906,0.4917834501167834,1.0
31,Lava Hound,0.5135135135135135,0.4934203126757395,1.0
