Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
74,Graveyard,0.75,0.5602409638554217,0.6083916083916084
23,Barbarian Barrel,0.65625,0.5746753246753247,0.6088432495198142
80,Skeleton Dragons,1.0,0.5545722713864307,1.0
79,Tombstone,0.5714285714285714,0.558282208588957,1.0
95,Mortar,1.0,0.5545722713864307,1.0
17,Minion Horde,0.6428571428571429,0.5613496932515337,1.0
19,Goblin Hut,0.625,0.5617283950617284,1.0
28,Cannon,0.6190476190476191,0.5642633228840125,1.0
32,Bandit,0.5625,0.558641975308642,1.0
34,Wall Breakers,0.6666666666666666,0.5589123867069486,1.0
46,Royal Delivery,0.6666666666666666,0.5548961424332344,1.0
48,Earthquake,0.5714285714285714,0.5611285266457681,1.0
107,X-Bow,0.6,0.5552238805970149,1.0
