Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
0,Mega Minion,0.6428571428571429,0.5657894736842105,0.7847735528976196
104,Elite Barbarians,0.6176470588235294,0.5661375661375662,0.805646996899348
15,Dark Prince,0.6190476190476191,0.5674955595026643,0.8242952320092427
56,P.E.K.K.A,0.6071428571428571,0.5692446043165468,0.847687861894148
23,Barbarian Barrel,0.5942028985507246,0.5705186533212011,0.8630783494019043
51,Elixir Collector,0.6666666666666666,0.5613733905579399,1.0
1,Witch,0.5853658536585366,0.5718232044198895,1.0
45,Skeleton Barrel,0.5714285714285714,0.5701191567369386,1.0
68,Giant Skeleton,0.6153846153846154,0.5647985989492119,1.0
92,Monk,1.0,0.5612682090831191,1.0
42,Fire Spirit,0.5813953488372093,0.5662222222222222,1.0
