Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
84,Archers,0.6944444444444444,0.484573502722323,0.09353207482961828
58,Skeleton Army,0.6507936507936508,0.4885496183206106,0.10519250512004134
39,Cannon Cart,0.6829268292682927,0.4853479853479853,0.11605102264563333
71,Goblin Barrel,0.5702479338842975,0.5043478260869565,0.17149238605501255
51,Electro Wizard,0.6363636363636364,0.4825046040515653,0.197645600135128
99,Princess,0.5597826086956522,0.488833746898263,0.21035649313208601
32,Rocket,0.5692307692307692,0.4857768052516411,0.21418144407573433
54,The Log,0.5461254612546126,0.490506329113924,0.22877413465046853
49,Goblin Gang,0.5469613259668509,0.4827586206896552,0.24738033199847964
81,Dart Goblin,0.5300546448087432,0.4752475247524752,0.3467616836927716
14,Dark Prince,0.5595238095238095,0.4791252485089463,0.3542323716752461
62,Giant Snowball,0.6,0.4789762340036563,0.3698905471087298
96,Knight,0.6666666666666666,0.4795737122557726,0.3801290435953905
101,Inferno Dragon,0.7272727272727273,0.4774305555555556,0.3869969040247679
27,Cannon,0.75,0.4782608695652174,0.40032305828509895
53,Prince,0.5352112676056338,0.4764044943820225,0.4060699142703391
31,Bandit,0.5616438356164384,0.4785992217898833,0.40749743219460255
59,Mirror,0.5957446808510638,0.4796296296296296,0.4077585325198256
60,Furnace,0.6071428571428571,0.4776386404293381,0.42183405682963043
70,Rage,0.6206896551724138,0.478494623655914,0.42865583306735827
8,Lumberjack,0.6,0.4775583482944344,0.43789542152342975
2,Arrows,0.5517241379310345,0.478,0.4481222960312897
12,Fireball,0.5307692307692308,0.474835886214442,0.45673708354995934
64,Spear Goblins,0.6666666666666666,0.4772727272727273,0.4621373523764434
105,Zap,0.5666666666666667,0.4781783681214421,0.4646500810759665
75,Baby Dragon,0.5833333333333334,0.4773139745916515,0.4791307749404391
89,Poison,0.6666666666666666,0.4780316344463972,0.49979203946413897
74,Bomb Tower,0.8333333333333334,0.4767641996557659,0.5454545454545454
69,Bats,0.55,0.476280834914611,0.5836732938796906
106,Goblin Giant,0.7142857142857143,0.4758620689655172,0.592074592074592
78,Tombstone,0.7142857142857143,0.4758620689655172,0.592074592074592
100,Ice Golem,0.75,0.4766839378238341,0.6083916083916084
88,Freeze,0.5625,0.4756756756756757,0.6173015225853759
72,Balloon,0.5641025641025641,0.4762773722627737,0.6504968187007323
104,Elite Barbarians,0.5283018867924528,0.4737827715355805,0.697635440452867
57,Firecracker,0.5230769230769231,0.4731800766283525,0.7257209852083117
52,Golden Knight,0.5882352941176471,0.475438596491228,0.7318573310967604
23,Bomber,0.55,0.474426807760141,0.752371134563909
33,Wall Breakers,0.53125,0.4738738738738738,0.8028522995136783
95,Mortar,0.525,0.473491773308958,0.8232521732114229
93,Tesla,0.5116279069767442,0.4724264705882353,0.8293726888032444
61,Mini P.E.K.K.A,0.5,0.4710280373831775,0.8444056092515033
98,Inferno Tower,0.5238095238095238,0.4734982332155477,1.0
103,Lightning,0.5714285714285714,0.4746945898778359,1.0
82,Musketeer,0.52,0.4733096085409252,1.0
85,Magic Archer,0.4705882352941176,0.4701627486437613,1.0
92,Bowler,0.5555555555555556,0.4745166959578207,1.0
0,Mega Minion,0.5454545454545454,0.4739583333333333,1.0
67,Giant Skeleton,0.4761904761904761,0.4717314487632509,1.0
25,Night Witch,0.5,0.4731369150779896,1.0
24,Hog Rider,0.4714285714285714,0.4661508704061896,1.0
22,Barbarian Barrel,0.5,0.4721723518850987,1.0
21,Ram Rider,0.5,0.4718693284936479,1.0
19,Electro Dragon,0.6,0.4742268041237113,1.0
28,Minions,0.5,0.4725663716814159,1.0
17,Miner,0.4901960784313725,0.4701492537313433,1.0
15,Skeletons,0.5,0.4726631393298059,1.0
11,Valkyrie,0.4646464646464646,0.4610655737704918,1.0
9,Executioner,0.4814814814814814,0.4690431519699812,1.0
7,Royal Giant,0.5217391304347826,0.4734042553191489,1.0
3,Flying Machine,0.5,0.4728546409807355,1.0
16,Minion Horde,0.5,0.4713493530499076,1.0
68,Golem,0.5,0.4731369150779896,1.0
34,Barbarians,0.5,0.4727592267135325,1.0
66,Ice Spirit,0.5333333333333333,0.4737762237762238,1.0
65,Royal Ghost,0.52,0.4733096085409252,1.0
56,Tornado,0.5555555555555556,0.4740484429065744,1.0
55,P.E.K.K.A,0.4814814814814814,0.4714285714285714,1.0
30,Lava Hound,0.5,0.4735042735042735,1.0
46,Electro Giant,0.5217391304347826,0.4734042553191489,1.0
43,Electro Spirit,0.75,0.4751286449399657,1.0
41,Fire Spirit,0.5555555555555556,0.4740484429065744,1.0
38,Royal Recruits,0.5,0.4730434782608695,1.0
35,Mighty Miner,0.5714285714285714,0.4741379310344827,1.0
45,Royal Delivery,0.6,0.4742268041237113,1.0
