Unnamed: 0,Synergy,Win_Rate,Win_Rate_Without_Card,P-Value
40,Giant,0.651685393258427,0.5221412556053812,0.09434685060685029
42,Hunter,0.603448275862069,0.5220143480095654,0.2894424396773
106,Goblin Giant,0.6666666666666666,0.5204662134036353,0.49979203946413897
20,Fisherman,0.5783132530120482,0.5211425371044526,0.5327425833767536
8,Royal Giant,0.564625850340136,0.521757558632382,0.5582075976113963
55,P.E.K.K.A,0.5487364620938628,0.5227403569372481,0.6092353291329746
102,Goblin Drill,0.5789473684210527,0.5207868303571429,0.7063762948596359
9,Lumberjack,0.5524475524475524,0.5214628635978538,0.7219590538942646
5,Zappies,0.6190476190476191,0.5204053303720155,0.7557377774421101
75,Baby Dragon,0.5357142857142857,0.5222462203023758,0.7995254978846003
49,Goblin Gang,0.5390070921985816,0.5211744776962168,0.8114306100547972
44,Skeleton Barrel,0.5370370370370371,0.5213082259663032,0.8238733368661946
16,Minion Horde,0.5686274509803921,0.520630052969055,0.8422720348986255
73,Graveyard,0.55,0.520586182833217,0.8548127198282508
37,Mother Witch,0.546875,0.5205976818880045,0.8594117941429606
36,Goblin Cage,0.5454545454545454,0.5207050923335199,0.8716953181059961
0,Mega Minion,0.55,0.5207837648705388,0.8740151804289786
57,Firecracker,0.5308521057786484,0.5283687943262412,0.9293431016932083
103,Lightning,0.5254237288135594,0.5215338388896837,1.0
4,Flying Machine,0.5333333333333333,0.5202223766504517,1.0
99,Princess,0.5225464190981433,0.5223422897196262,1.0
65,Royal Ghost,0.5294117647058824,0.520469470448512,1.0
18,Goblin Hut,0.5283018867924528,0.5207192021351313,1.0
15,Dark Prince,0.5254237288135594,0.5215338388896837,1.0
